score,roc_auc,average_precision,n,n_positive,n_negative
isds_v1,0.9166666666666666,0.9226756241694325,47,20,27
isds_energy_component,0.8462962962962963,0.8489036275031059,47,20,27
isds_context_component,0.8574074074074074,0.7838461538461539,47,20,27
max_abs_energy_recomputed,0.85,0.8572003307998093,47,20,27
interface_only_positive,0.7453703703703703,0.6177466150870407,47,20,27
sens_no_interface_tier,0.8629629629629629,0.8639232535987649,47,20,27
historical_cohort_z_combination,0.9185185185185185,0.9279196081266519,47,20,27
