formula,roc_auc,average_precision,spearman_vs_isds_v1,n_unique_scores
sens_common_2_5,0.9203703703703703,0.9283481387893155,0.9990749306197965,47
historical_cohort_z_combination,0.9185185185185185,0.9279196081266519,0.9961840888066605,47
sens_hard_cap,0.9166666666666667,0.9044217352108259,0.9684810698812855,31
sens_exponential,0.9166666666666666,0.9222653838249817,0.9945652173913044,47
sens_smooth_norm,0.9166666666666666,0.9210221478942457,0.9913274745605922,47
sens_energy_weight_0_6,0.9166666666666666,0.9210221478942457,0.990518038852914,47
sens_energy_weight_0_4,0.9148148148148147,0.9218289218521418,0.9949121184088807,47
sens_interface_only_context,0.8648148148148148,0.8549349361477414,0.781799259944496,47
sens_no_interface_tier,0.8629629629629629,0.8639232535987649,0.9404486586493987,47
