draw,roc_auc__isds_v1,average_precision__isds_v1,roc_auc__isds_energy_component,average_precision__isds_energy_component,roc_auc__isds_context_component,average_precision__isds_context_component,auc_diff_isds_minus_energy,auc_diff_isds_minus_context
0,0.8909774436090225,0.47329931972789113,0.7518796992481203,0.3088810524209684,0.8195488721804511,0.4151160464185674,0.13909774436090228,0.0714285714285714
1,0.8930921052631579,0.6384394245628513,0.7401315789473685,0.49302643605069374,0.8322368421052632,0.5533893211251223,0.15296052631578938,0.06085526315789469
2,0.9142857142857143,0.6973626373626374,0.8133333333333334,0.6062383080030139,0.861904761904762,0.8287913893155828,0.1009523809523809,0.052380952380952306
3,0.8944281524926686,0.7459031347844539,0.7653958944281525,0.6287345000495154,0.8145161290322581,0.761564606109799,0.12903225806451613,0.07991202346041049
4,0.8796296296296297,0.6714585255126827,0.7577160493827161,0.5692349222983969,0.8263888888888888,0.6880246734025016,0.12191358024691357,0.05324074074074081
5,0.9956427015250545,0.9932718185313343,0.954248366013072,0.9458573625528643,0.9400871459694989,0.9026559714795008,0.04139433551198257,0.05555555555555558
6,0.9371428571428572,0.6674531024531025,0.9142857142857143,0.6334371184371184,0.9542857142857143,0.6515800865800866,0.02285714285714291,-0.017142857142857126
7,0.9013157894736842,0.7940141502151337,0.8245614035087719,0.7285647587525541,0.8914473684210527,0.8823171760018159,0.07675438596491224,0.009868421052631526
8,0.8633540372670807,0.7839346046653894,0.7453416149068323,0.7150965035201872,0.8913043478260869,0.9017639319118154,0.11801242236024845,-0.02795031055900621
9,0.9125,0.635442158092534,0.7857142857142857,0.5039164059494841,0.8607142857142858,0.8205197296309829,0.12678571428571428,0.05178571428571421
10,0.9348370927318296,0.8438038678139704,0.8295739348370927,0.7652417716985095,0.9072681704260651,0.9440248668434265,0.10526315789473684,0.027568922305764465
11,0.8791666666666667,0.6492173054556957,0.7708333333333334,0.5308233383519424,0.8666666666666667,0.7761884411884412,0.10833333333333328,0.012499999999999956
12,0.9612903225806452,0.8304514004514004,0.8731182795698925,0.7160978627985269,0.8870967741935484,0.7613321380712684,0.08817204301075265,0.0741935483870968
13,0.8942857142857142,0.6908710717430767,0.7328571428571429,0.562815523616904,0.87,0.7503113091410505,0.16142857142857137,0.024285714285714244
14,0.9276315789473685,0.8030149484382894,0.8404605263157895,0.7029706458247524,0.8651315789473685,0.8163126645373932,0.08717105263157898,0.0625
15,0.966,0.9582401321252446,0.928,0.9226837900231863,0.903,0.8625290265290264,0.03799999999999992,0.06299999999999994
16,0.9810924369747899,0.9687970647495326,0.884453781512605,0.8698536999939295,0.9086134453781513,0.834415273948146,0.09663865546218486,0.07247899159663862
17,0.9090909090909091,0.597337258700895,0.7518427518427518,0.4186240972337229,0.8353808353808354,0.5411615596176724,0.15724815724815722,0.07371007371007365
18,0.8940217391304348,0.747759739712316,0.7595108695652174,0.6442352778445052,0.8260869565217391,0.7869334859452174,0.1345108695652174,0.06793478260869568
19,0.9161290322580645,0.6415323565323565,0.8129032258064516,0.5333737585943469,0.9354838709677419,0.7237698412698412,0.10322580645161294,-0.019354838709677358
20,0.981203007518797,0.9713980463980464,0.8796992481203008,0.8701576832306275,0.8070175438596491,0.6547276935302161,0.10150375939849621,0.1741854636591479
21,0.9548387096774194,0.7690262515262516,0.8806451612903226,0.6546660746660746,0.896774193548387,0.7139194139194138,0.0741935483870968,0.058064516129032295
22,0.9019607843137255,0.6782018176755019,0.8196078431372549,0.5840202125240488,0.8970588235294118,0.8703003663003663,0.08235294117647063,0.004901960784313708
