metric,n_valid_draws,mean,median,ci95_low,ci95_high,fraction_gt_zero
roc_auc__isds_v1,10000,0.9168686467388015,0.9221033562166285,0.7832809711906542,0.9958334417273673,
average_precision__isds_v1,10000,0.9191395200997365,0.9300729729618451,0.7795044150758527,0.9944444444444444,
roc_auc__isds_energy_component,10000,0.8485271614087109,0.8518518518518519,0.7341220238095237,0.9460228337535778,
average_precision__isds_energy_component,10000,0.8493944753066291,0.8584559012524569,0.7005180872339504,0.9479627417455746,
roc_auc__isds_context_component,10000,0.8564175165847926,0.8611111111111112,0.7272727272727273,0.9576963601532567,
average_precision__isds_context_component,10000,0.8263711091231758,0.8426265215119705,0.5928501839579984,0.9648968019330164,
auc_diff_isds_minus_energy,10000,0.06834148533009048,0.06902356902356899,-0.007215073529411736,0.14087106446776604,0.9596
auc_diff_isds_minus_context,10000,0.06045113015400901,0.05833333333333335,-0.0024700640490114938,0.1350457302512178,0.9687
